"","Age_Category","Marriage_Category","POC Population Category","Poverty Rate Classification","Disabled Population Category"
"1668","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1669","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1670","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1671","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"1672","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"1673","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1674","Mature Adult","No Marriages","Low","Low Poverty","Low"
"1675","Mature Adult","Few Marriages","High","Low Poverty","Low"
"1676","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1677","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1678","Adult","Low Marriages","High","Low Poverty","Low"
"1679","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"1680","Mature Adult","Low Marriages","High","Low Poverty","Low"
"1681","Older Adult","No Marriages","Low","Low Poverty","Medium"
"1682","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"1683","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1684","Mature Adult","High Marriages","High","Low Poverty","Low"
"1685","Mature Adult","No Marriages","Low","Low Poverty","Low"
"1686","Older Adult","No Marriages","Low","Low Poverty","Low"
"1687","Older Adult","No Marriages","Low","Low Poverty","Medium"
"1688","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"1689","Older Adult","No Marriages","Low","Low Poverty","Medium"
"1690","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"1691","Older Adult","No Marriages","Low","Low Poverty","Medium"
"1692","Older Adult","No Marriages","Low","Low Poverty","Low"
"1693","Older Adult","No Marriages","Low","Low Poverty","Low"
"1694","Mature Adult","No Marriages","Low","Low Poverty","Low"
"1695","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"1696","Mature Adult","Median Marriages","High","Low Poverty","Low"
"1697","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1698","Older Adult","No Marriages","Low","Low Poverty","Medium"
"1699","Older Adult","No Marriages","Low","Low Poverty","Low"
"1700","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"1701","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1702","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"1703","Mature Adult","No Marriages","Low","Low Poverty","Low"
"1704","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1705","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"1706","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1707","Older Adult","Few Marriages","Low","Low Poverty","Low"
"1708","Older Adult","No Marriages","Low","Low Poverty","Low"
"1709","Older Adult","No Marriages","Low","Low Poverty","Medium"
"1710","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"1711","Adult","High Marriages","Medium","Low Poverty","Low"
"1712","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1713","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"1714","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"1715","Senior","No Marriages","Low","Low Poverty","Low"
"1716","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1717","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1718","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"1719","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"1720","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1721","Older Adult","No Marriages","Low","Low Poverty","Low"
"1722","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"1723","Older Adult","No Marriages","Low","Low Poverty","Medium"
"1724","Mature Adult","No Marriages","Low","Low Poverty","Low"
"1725","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1726","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1727","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1728","Mature Adult","No Marriages","Low","Low Poverty","Low"
"1729","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1730","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1731","Mature Adult","No Marriages","Low","Low Poverty","Low"
"1732","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"1733","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1734","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"1735","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1736","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1737","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"1738","Older Adult","No Marriages","Low","Low Poverty","Medium"
"1739","Mature Adult","No Marriages","Low","Low Poverty","Low"
"1740","Mature Adult","No Marriages","Low","Low Poverty","Low"
"1741","Older Adult","No Marriages","Low","Low Poverty","Low"
"1742","Older Adult","No Marriages","Medium","Low Poverty","Low"
"1743","Adult","No Marriages","High","Low Poverty","Low"
"1744","Older Adult","No Marriages","Low","Low Poverty","Medium"
"1745","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"1746","Adult","Few Marriages","Low","Low Poverty","Medium"
"1747","Mature Adult","No Marriages","Low","Low Poverty","Low"
"1748","Senior","No Marriages","Low","Low Poverty","Medium"
"1749","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1750","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"1751","Mature Adult","High Marriages","High","Low Poverty","Low"
"1752","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"1753","Adult","Median Marriages","High","Low Poverty","Low"
"1754","Senior","No Marriages","Medium","Low Poverty","Medium"
"1755","Older Adult","No Marriages","Low","Low Poverty","Medium"
"1756","Mature Adult","Few Marriages","High","Low Poverty","Low"
"1757","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"1758","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"1759","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1760","Mature Adult","No Marriages","High","Low Poverty","Medium"
"1761","Older Adult","Median Marriages","High","Low Poverty","Medium"
"1762","Mature Adult","No Marriages","High","Low Poverty","Low"
"1763","Senior","No Marriages","Medium","Low Poverty","Medium"
"1764","Mature Adult","High Marriages","High","Low Poverty","Low"
"1765","Mature Adult","Few Marriages","High","Low Poverty","Low"
"1766","Mature Adult","Median Marriages","High","Low Poverty","Low"
"1767","Older Adult","Many Marriages","Low","Low Poverty","Medium"
"1768","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1769","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1770","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1771","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1772","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"1773","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1774","Mature Adult","High Marriages","Low","Low Poverty","Low"
"1775","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1776","Older Adult","Median Marriages","Low","Low Poverty","Low"
"1777","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1778","Mature Adult","High Marriages","High","Low Poverty","Low"
"1779","Mature Adult","High Marriages","High","Low Poverty","Low"
"1780","Mature Adult","High Marriages","High","Low Poverty","Low"
"1781","Older Adult","Many Marriages","Medium","Low Poverty","Low"
"1782","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1783","Mature Adult","High Marriages","High","Low Poverty","Low"
"1784","Mature Adult","High Marriages","High","Low Poverty","Low"
"1785","Mature Adult","High Marriages","High","Low Poverty","Low"
"1786","Older Adult","Many Marriages","Medium","Low Poverty","Low"
"1787","Mature Adult","High Marriages","High","Low Poverty","Low"
"1788","Mature Adult","High Marriages","High","Low Poverty","Low"
"1789","Mature Adult","High Marriages","High","Low Poverty","Low"
"1790","Mature Adult","High Marriages","High","Low Poverty","Low"
"1791","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"1792","Mature Adult","High Marriages","High","Low Poverty","Low"
"1793","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1794","Mature Adult","High Marriages","High","Low Poverty","Low"
"1795","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1796","Mature Adult","High Marriages","High","Low Poverty","Low"
"1797","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1798","Mature Adult","High Marriages","High","Low Poverty","Low"
"1799","Senior","No Marriages","Medium","High Poverty","High"
"1800","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1801","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1802","Older Adult","Few Marriages","High","Low Poverty","Medium"
"1803","Adult","Median Marriages","High","Low Poverty","Medium"
"1804","Adult","No Marriages","High","Low Poverty","Low"
"1805","Adult","Many Marriages","High","High Poverty","Low"
"1806","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1807","Older Adult","Median Marriages","High","Low Poverty","Medium"
"1808","Mature Adult","No Marriages","High","Low Poverty","Medium"
"1809","Mature Adult","No Marriages","High","Low Poverty","Medium"
"1810","Mature Adult","No Marriages","High","High Poverty","Medium"
"1811","Adult","Many Marriages","High","Low Poverty","Low"
"1812","Older Adult","Low Marriages","High","Low Poverty","Medium"
"1813","Mature Adult","Low Marriages","High","Low Poverty","Low"
"1814","Mature Adult","Low Marriages","High","High Poverty","Medium"
"1815","Adult","Many Marriages","High","High Poverty","Medium"
"1816","Senior","No Marriages","High","High Poverty","High"
"1817","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1818","Older Adult","Few Marriages","High","High Poverty","Medium"
"1819","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1820","Adult","Few Marriages","High","Low Poverty","Medium"
"1821","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1822","Mature Adult","Many Marriages","High","High Poverty","Medium"
"1823","Older Adult","Median Marriages","High","High Poverty","Medium"
"1824","Older Adult","Many Marriages","High","Low Poverty","Low"
"1825","Senior","Few Marriages","High","High Poverty","High"
"1826","Mature Adult","Few Marriages","High","High Poverty","Medium"
"1827","Older Adult","Median Marriages","High","Low Poverty","Medium"
"1828","Mature Adult","Few Marriages","High","High Poverty","Medium"
"1829","Mature Adult","No Marriages","High","Low Poverty","Medium"
"1830","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1831","Mature Adult","High Marriages","High","Low Poverty","Low"
"1832","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1833","Mature Adult","High Marriages","High","High Poverty","Medium"
"1834","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1835","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1836","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1837","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1838","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1839","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1840","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"1841","Older Adult","Many Marriages","Medium","Low Poverty","Low"
"1842","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1843","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1844","Mature Adult","High Marriages","High","Low Poverty","Low"
"1845","Mature Adult","High Marriages","High","Low Poverty","Low"
"1846","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1847","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1848","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1849","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1850","Older Adult","Median Marriages","Medium","Low Poverty","Low"
"1851","Senior","No Marriages","Low","Low Poverty","Medium"
"1852","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"1853","Adult","Many Marriages","Medium","Low Poverty","Low"
"1854","Mature Adult","High Marriages","High","Low Poverty","Low"
"1855","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1856","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1857","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1858","Mature Adult","High Marriages","High","Low Poverty","Low"
"1859","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1860","Mature Adult","High Marriages","High","Low Poverty","Low"
"1861","Mature Adult","High Marriages","High","Low Poverty","Low"
"1862","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1863","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1864","Mature Adult","High Marriages","High","Low Poverty","Low"
"1865","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1866","Mature Adult","High Marriages","High","Low Poverty","Low"
"1867","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1868","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1869","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1870","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1871","Mature Adult","High Marriages","High","Low Poverty","Low"
"1872","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1873","Mature Adult","High Marriages","High","Low Poverty","Low"
"1874","Mature Adult","High Marriages","High","Low Poverty","Low"
"1875","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"1876","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1877","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1878","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1879","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1880","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1881","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1882","Mature Adult","High Marriages","High","Low Poverty","Low"
"1883","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1884","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1885","Adult","Many Marriages","High","Low Poverty","Low"
"1886","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1887","Older Adult","Many Marriages","Low","Low Poverty","Medium"
"1888","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1889","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1890","Mature Adult","High Marriages","High","Low Poverty","Low"
"1891","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1892","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"1893","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1894","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1895","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1896","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"1897","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1898","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"1899","Older Adult","Median Marriages","High","Low Poverty","Medium"
"1900","Older Adult","Few Marriages","High","Low Poverty","Medium"
"1901","Older Adult","Median Marriages","High","High Poverty","Low"
"1902","Senior","Many Marriages","Medium","Low Poverty","Low"
"1903","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1904","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"1905","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1906","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"1907","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"1908","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"1909","Older Adult","Low Marriages","High","Low Poverty","Medium"
"1910","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1911","Older Adult","Many Marriages","High","Low Poverty","Low"
"1912","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1913","Older Adult","Few Marriages","High","High Poverty","Medium"
"1914","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1915","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1916","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1917","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1918","Adult","High Marriages","High","Low Poverty","Low"
"1919","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1920","Older Adult","Median Marriages","Medium","Low Poverty","Low"
"1921","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1922","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"1923","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1924","Mature Adult","High Marriages","High","Low Poverty","Low"
"1925","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1926","Mature Adult","High Marriages","High","Low Poverty","Low"
"1927","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1928","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1929","Older Adult","Few Marriages","High","Low Poverty","Medium"
"1930","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"1931","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1932","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"1933","Mature Adult","High Marriages","High","Low Poverty","Low"
"1934","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1935","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1936","Older Adult","Many Marriages","Low","Low Poverty","Medium"
"1937","Older Adult","Many Marriages","Medium","Low Poverty","Low"
"1938","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"1939","Adult","Median Marriages","High","Low Poverty","Medium"
"1940","Older Adult","No Marriages","High","High Poverty","Medium"
"1941","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1942","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1943","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1944","Older Adult","Few Marriages","High","Low Poverty","Medium"
"1945","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1946","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1947","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1948","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1949","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1950","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"1951","Older Adult","Low Marriages","High","High Poverty","Medium"
"1952","Mature Adult","High Marriages","High","Low Poverty","Low"
"1953","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1954","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1955","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1956","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1957","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1958","Older Adult","Few Marriages","High","Low Poverty","Medium"
"1959","Young","Many Marriages","High","Low Poverty","Low"
"1960","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1961","Older Adult","Few Marriages","High","Low Poverty","Medium"
"1962","Mature Adult","Median Marriages","High","Low Poverty","Low"
"1963","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1964","Older Adult","Few Marriages","High","Low Poverty","Medium"
"1965","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1966","Adult","Many Marriages","High","Low Poverty","Low"
"1967","Older Adult","Low Marriages","Medium","Low Poverty","Medium"
"1968","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1969","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1970","Mature Adult","Many Marriages","High","High Poverty","Medium"
"1971","Older Adult","Many Marriages","High","Low Poverty","Medium"
"1972","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1973","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1974","Mature Adult","Median Marriages","High","High Poverty","Low"
"1975","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1976","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1977","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1978","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1979","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"1980","Older Adult","Median Marriages","Low","Low Poverty","Low"
"1981","Older Adult","No Marriages","High","Low Poverty","Medium"
"1982","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1983","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1984","Mature Adult","High Marriages","High","Low Poverty","Low"
"1985","Older Adult","Low Marriages","High","High Poverty","Medium"
"1986","Older Adult","Few Marriages","High","High Poverty","Medium"
"1987","Adult","Many Marriages","Low","High Poverty","Low"
"1988","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1989","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"1990","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1991","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1992","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1993","Older Adult","No Marriages","Low","Low Poverty","Low"
"1994","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1995","Adult","No Marriages","High","High Poverty","Low"
"1996","Mature Adult","No Marriages","Low","Low Poverty","Low"
"1997","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1998","Mature Adult","No Marriages","Low","Low Poverty","Low"
"1999","Mature Adult","No Marriages","Low","Low Poverty","Low"
"2000","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2001","Adult","Many Marriages","Medium","Low Poverty","Low"
"2002","Older Adult","No Marriages","Low","Low Poverty","Low"
"2003","Mature Adult","No Marriages","Low","Low Poverty","Low"
"2004","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"2005","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"2006","Older Adult","No Marriages","Low","Low Poverty","Medium"
"2007","Older Adult","No Marriages","Low","Low Poverty","Low"
"2008","Older Adult","No Marriages","Low","Low Poverty","Low"
"2009","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"2010","Adult","Many Marriages","Medium","Low Poverty","Low"
"2011","Older Adult","No Marriages","Low","Low Poverty","Low"
"2012","Older Adult","No Marriages","Low","Low Poverty","Low"
"2013","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"2014","Older Adult","No Marriages","Low","Low Poverty","Low"
"2015","Older Adult","No Marriages","Low","Low Poverty","Low"
"2016","Older Adult","No Marriages","Low","Low Poverty","Low"
"2017","Mature Adult","No Marriages","Low","Low Poverty","Low"
"2018","Older Adult","No Marriages","Low","Low Poverty","Low"
"2019","Adult","Few Marriages","High","Low Poverty","Low"
"2020","Older Adult","Few Marriages","Medium","Low Poverty","Low"
"2021","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"2022","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"2023","Adult","Few Marriages","High","Low Poverty","Low"
"2024","Older Adult","No Marriages","Low","Low Poverty","Medium"
"2025","Older Adult","No Marriages","Low","Low Poverty","Low"
"2026","Older Adult","Few Marriages","Low","Low Poverty","Low"
"2027","Mature Adult","No Marriages","Low","Low Poverty","Low"
"2028","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"2029","Mature Adult","No Marriages","Low","Low Poverty","Low"
"2030","Mature Adult","No Marriages","Low","Low Poverty","Low"
"2031","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"2032","Adult","Few Marriages","High","High Poverty","Medium"
"2033","Mature Adult","No Marriages","Low","Low Poverty","Low"
"2034","Older Adult","No Marriages","Low","Low Poverty","Low"
"2035","Young","No Marriages","High","High Poverty","Medium"
"2036","Older Adult","No Marriages","Low","Low Poverty","Medium"
"2037","Adult","Median Marriages","Medium","Low Poverty","Low"
"2038","Older Adult","No Marriages","Low","Low Poverty","Low"
"2039","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"2040","Older Adult","No Marriages","Medium","Low Poverty","Low"
"2041","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"2042","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"2043","Adult","Many Marriages","Medium","Low Poverty","Low"
"2044","Older Adult","No Marriages","Low","Low Poverty","Low"
"2045","Adult","Median Marriages","Medium","Low Poverty","Low"
"2046","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2047","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2048","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2049","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"2050","Adult","Many Marriages","Low","High Poverty","Medium"
"2051","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2052","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"2053","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2054","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"2055","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2056","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2057","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2058","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"2059","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2060","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"2061","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2062","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2063","Mature Adult","High Marriages","High","Low Poverty","Low"
"2064","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2065","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"2066","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2067","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2068","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2069","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2070","Adult","High Marriages","High","Low Poverty","Low"
"2071","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2072","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2073","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"2074","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2075","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2076","Mature Adult","High Marriages","High","Low Poverty","Low"
"2077","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"2078","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2079","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"2080","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2081","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2082","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2083","Adult","Median Marriages","Low","Low Poverty","Low"
"2084","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2085","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2086","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"2087","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"2088","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2089","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2090","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2091","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2092","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"2093","Mature Adult","High Marriages","High","Low Poverty","Medium"
"2094","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"2095","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2096","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2097","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"2098","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"2099","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2100","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"2101","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"2102","Mature Adult","High Marriages","High","Low Poverty","Low"
"2103","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"2104","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2105","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"2106","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"2107","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2108","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"2109","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2110","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2111","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
